Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A0-H1,0Ω,R0805,-27.279999,7.739999,90.0,top
A0-L1,0Ω,R0805,-27.289999,2.839999,90.0,top
A1-H1,0Ω,R0805,-24.769999,7.709999,90.0,top
A1-L1,0Ω,R0805,-24.789999,2.819999,90.0,top
AE1,AN9520-245,ANT-SMD_L9.5-W2.1,46.156204,18.256722,25.0,top
But1,QS-301-AGS5P,SW-SMD_QS-301-AGS5P,36.89438,33.136103,-50.0,top
But2,QS-301-AGS5P,SW-SMD_QS-301-AGS5P,-37.811231,32.579316,55.0,top
C1,22uF,C0603,26.34,-41.02,-90.0,top
C10,1pF,C0402,37.160097,18.248463,-155.0,top
C11,22nF,C0402,19.392,5.5,-90.0,top
C12,100nF,C0603,29.050003,13.299993,0.0,top
C13,16pF,C0603,29.996,11.424999,0.0,top
C14,16pF,C0603,29.122001,5.201998,0.0,top
C15,1uF,C0603,17.48,8.579998,0.0,top
C16,100nF,C0603,17.029989,16.079997,90.0,top
C17,100nF,C0603,16.33,20.76,90.0,top
C18,22uF,C0603,-14.250015,-49.830003,-90.0,top
C2,22uF,C0603,20.850003,-47.660011,180.0,top
C20,100nF,C0603,-15.97,-23.96,0.0,top
C21,100nF,C0603,-14.319994,10.360002,90.0,top
C22,100nF,C0603,-15.95,28.8,0.0,top
C23,100nF,C0603,-31.56,2.35,0.0,top
C24,100nF,C0603,0.05,2.72,0.0,top
C25,100nF,C0603,16.16,28.61,0.0,top
C26,100nF,C0603,31.98,2.44,0.0,top
C27,100nF,C0603,15.902,-24.627,0.0,top
C28,100nF,C0603,-17.61,1.42,0.0,top
C29,100nF,C0603,-43.579997,-21.010007,0.0,top
C3,22uF,C0603,0.199989,-49.600003,90.0,top
C30,1uF,C0603,-17.609998,-1.200006,180.0,top
C31,1uF,C0603,-50.5,-16.42,-90.0,top
C32,1uF,C0603,-6.550007,-41.050003,-90.0,top
C33,22uF,C0603,-16.170007,-41.270003,-90.0,top
C4,22uF,C0603,26.039999,22.559994,180.0,top
C5,100nF,C0603,26.040002,24.639994,180.0,top
C6,1pF,C0402,38.823938,14.680328,-155.0,top
C7,1uF,C0603,21.17,5.5,-90.0,top
C8,100nF,C0603,26.04,18.89,180.0,top
C9,100nF,C0603,-28.01,41.58,180.0,top
CN1,HCZZ0001-2,CONN-SMD_2P-P1.25_HC_HCZZ0001-2,-37.9,-23.0,90.0,top
D1,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,-15.627,26.577,0.0,bottom
D10,XL-1005UGC,LED0402-RD_GREEN,-50.038002,-13.999999,180.0,top
D11,"CRS08(TE85L,Q,M)",SOD-123_L2.8-W1.8-LS3.7-FD,10.85,-41.42,-90.0,top
D12,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,0.085,0.05,0.0,bottom
D2,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,-31.65085,-0.2,0.0,bottom
D3,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,-15.915,-26.7,0.0,bottom
D4,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,16.085,-26.95,0.0,bottom
D5,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,32.085,-0.05,0.0,bottom
D6,WS2812B-2020,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,16.18445,26.275,0.0,bottom
D8,"CRS08(TE85L,Q,M)",SOD-123_L2.8-W1.8-LS3.7-FD,15.859976,-45.40001,0.0,top
D9,"CRS08(TE85L,Q,M)",SOD-123_L2.8-W1.8-LS3.7-FD,7.78,-41.4,-90.0,top
ExtAnt1,0Ω,R0805,33.660002,13.68,180.0,top
FPC1,FPC06-Q0.5-18AH2.0,FPC-SMD_18P-P0.50_FPC06-Q0.5-18AH2.0,-5.600003,15.21,90.0,top
I2C1,HCZZ0015-4,CONN-SMD_4P-P1.25_HCZZ0015-4,-12.573,49.626,180.0,top
IntAnt1,0Ω,R0805,33.649999,16.060001,0.0,top
L1,4.7uH,IND-SMD_L4.0-W4.0_FNR40XXS,16.049976,-41.18001,-90.0,top
L2,4.7uH,IND-SMD_L4.0-W4.0_FNR40XXS,-9.240022,-49.530006,180.0,top
L3,3.9nH,IND-SMD_L1.0-W0.5-2,24.991501,20.72,-90.0,top
L4,0Ω,R0402,38.503767,16.704529,115.0,top
LCDPow1,0Ω,R0805,-36.08,21.770002,-90.0,top
LDO_ON1,0Ω,R0805,10.589993,-48.746506,180.0,top
LDO_OUT1,0Ω,R0805,-18.010022,-44.420006,180.0,top
LiPo1,BX-PH2.0-2PWT,CONN-SMD_2P-P2.00_BX-PH2.0-2PWT,-30.91,-14.86,90.0,top
NoProt1,0Ω,R0805,-38.797,-13.388,180.0,top
PowO1,HCZZ0015-3,CONN-SMD_3P-P1.25-L3.3-W8.8,12.954,49.651,180.0,top
PowOn1,MST22D18G2 125,SW-SMD_MST22D18G2,0.09275,-41.39,0.0,top
Prot1,0Ω,R0805,-38.67,-16.69,180.0,top
Q1,HJ8205,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,-43.599995,-9.560004,90.0,top
R1,5.1kΩ,R0603,32.994341,28.402788,130.0,top
R10,100kΩ,R0603,14.53,20.7635,90.0,top
R11,5.1kΩ,R0603,-47.040005,-16.42,-90.0,top
R12,5.1kΩ,R0603,-16.666505,10.650007,180.0,top
R13,5.1kΩ,R0603,-7.5065,46.83,0.0,top
R14,5.1kΩ,R0603,-17.663497,46.849997,180.0,top
R15,100Ω,R0402,-43.25,-23.644318,0.0,top
R16,100kΩ,R0603,14.636504,-48.030005,0.0,top
R17,5.1kΩ,R0603,31.133256,42.627451,-120.0,top
R18,5.1kΩ,R0603,19.446744,49.262549,-120.0,top
R19,2.2kΩ,R0402,-47.04,-11.51,-90.0,top
R2,5.1kΩ,R0603,30.247808,31.677225,-55.0,top
R20,1kΩ,R0402,-43.589988,-13.577007,90.0,top
R21,5.1kΩ,R0603,-48.75,-16.42,-90.0,top
R23,100kΩ,R0603,17.376505,10.521507,180.0,top
R27,1kΩ,R0402,-8.870003,-41.072999,-90.0,top
R3,100kΩ,R0603,14.6165,-50.38,0.0,top
R4,300kΩ,R0402,-13.003021,-46.060002,0.0,top
R5,68kΩ,R0402,-5.647023,-46.09001,180.0,top
R6,300kΩ,R0402,20.046984,-45.400003,180.0,top
R7,43kΩ,R0402,22.836978,-45.410005,0.0,top
R8,100kΩ,R0603,-27.9835,43.47,180.0,top
R9,100kΩ,R0603,21.679999,19.483499,-90.0,top
RGB0,HCZZ0015-4,CONN-SMD_4P-P1.25_HCZZ0015-4,-44.225498,19.010005,0.0,top
RGB1,HCZZ0015-4,CONN-SMD_4P-P1.25_HCZZ0015-4,-44.225498,11.679998,0.0,top
RGB2,HCZZ0015-4,CONN-SMD_4P-P1.25_HCZZ0015-4,-44.225498,4.85,0.0,top
RGB3,HCZZ0015-4,CONN-SMD_4P-P1.25_HCZZ0015-4,-44.225498,-2.089998,0.0,top
RS232,HCZZ0015-5,CONN-SMD_5P-P1.25_HCZZ0015-5,-11.43,42.768,180.0,top
Reset1,TSB008A2526A,SW-SMD_L6.0-W3.5-LS8.0,-23.49,47.574151,25.0,top
SPI1,HCZZ0015-6,CONN-SMD_6P-P1.25_HCZZ0015-6,11.684,42.768,0.0,top
SW_ON1,0Ω,R0805,10.559996,-51.499997,0.0,top
SW_OUT1,0Ω,R0805,-18.079998,-47.289999,180.0,top
U1,ESP32-C3FH4,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,22.99,13.547497,-90.0,top
U2,MT3608B,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,21.539974,-41.080014,-90.0,top
U3,MT3410LB-N,SOT-23-5_L3.0-W1.5-P0.95-LS2.8-BL,-3.750022,-49.490006,-90.0,top
U4,TP4054,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,-49.93,-11.41,90.0,top
U5,AW9523BTQR,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,-17.367722,14.19,90.0,top
U6,DW01A,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,-43.609003,-17.120007,180.0,top
U8,TSC2007IPWR,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,-17.67,6.063374,90.0,top
U9,RT9080-33GJ5-MS,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,-12.37,-41.09,0.0,top
USBC1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,25.017,45.537206,150.0,top
WiFi1,BWU.FL-IPEX1,IPEX-SMD_BWIPX-1-001E,37.555,10.755,0.0,top
X1,40MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,29.63,8.249999,180.0,top
